1,7,"UA","480","SFO","PIT","2210",-2.00,15.00,0.00,2254.00,
1,5,"F9","1122","LAS","CVG","2205",83.00,13.00,69.00,1678.00,
1,2,"DL","431","JFK","ATL","1925",-4.00,11.00,0.00,760.00,
1,3,"OO","4495","BOI","SLC","1152",-9.00,21.00,0.00,290.00,
1,2,"AA","2026","PHX","PHL","2355",-10.00,13.00,0.00,2075.00,
1,6,"AA","119","DFW","OGG","1110",0.00,26.00,25.00,3711.00,
1,4,"AS","247","SFO","PDX","2030",12.00,13.00,0.00,550.00,
1,5,"DL","1825","MCO","ATL","0520",-4.00,10.00,0.00,404.00,
1,3,"OO","4480","MKE","DTW","0530",-5.00,15.00,0.00,237.00,
1,1,"OO","3547","RAP","MSP","1618",19.00,31.00,15.00,489.00,
1,5,"AS","858","LIH","SAN","1245",-6.00,10.00,0.00,2676.00,
1,7,"F9","1700","MSY","MCO","1725",70.00,10.00,66.00,551.00,
1,4,"OO","4798","PIT","MSP","1151",-7.00,10.00,0.00,726.00,
1,5,"DL","2262","LAX","JFK","1430",-7.00,33.00,0.00,2475.00,
1,1,"EV","4139","DSM","IAH","1800",-9.00,8.00,0.00,802.00,
1,1,"AA","87","ORD","PDX","1650",5.00,29.00,10.00,1739.00,
1,7,"AA","715","BWI","CLT","1205",-6.00,13.00,0.00,361.00,
1,4,"AA","1142","DFW","ORD","2035",7.00,30.00,2.00,802.00,
1,7,"UA","994","SFO","EWR","1000",-7.00,22.00,0.00,2565.00,
1,4,"WN","158","RIC","ATL","1230",-6.00,17.00,0.00,481.00,
1,7,"EV","5150","GTR","ATL","1559",-3.00,33.00,7.00,241.00,
1,5,"F9","903","TTN","FLL","0630",-4.00,10.00,0.00,1026.00,
1,5,"B6","2301","BUF","JFK","0903",16.00,9.00,2.00,301.00,
1,4,"EV","5597","LFT","ATL","1120",13.00,15.00,4.00,503.00,
1,6,"AA","2093","PHL","AUS","0929",1.00,44.00,15.00,1430.00,
1,3,"AA","1149","PHX","SNA","2105",3.00,15.00,0.00,338.00,
1,7,"AA","1743","DFW","CLT","2035",,,,936.00,
1,5,"OO","5893","ASE","DEN","1550",-10.00,8.00,0.00,125.00,
1,1,"WN","1121","EWR","MCO","1345",59.00,12.00,25.00,937.00,
1,2,"EV","3864","EWR","ROC","2155",52.00,15.00,41.00,246.00,
1,5,"WN","1390","OMA","LAS","0740",0.00,13.00,0.00,1099.00,
1,3,"UA","707","DEN","LAS","0830",-5.00,12.00,4.00,628.00,
1,4,"WN","1016","RNO","LAS","1530",59.00,16.00,64.00,345.00,
1,5,"EV","5395","TYS","ATL","1655",-2.00,17.00,0.00,152.00,
1,5,"WN","299","PHX","ABQ","1810",-1.00,12.00,0.00,328.00,
1,7,"DL","1798","ICT","ATL","1117",54.00,7.00,27.00,782.00,
1,2,"DL","1426","MKE","ATL","1300",-2.00,11.00,0.00,669.00,
1,5,"OO","4852","DTW","SBN","1525",1.00,34.00,1.00,157.00,
1,6,"UA","414","LAX","SFO","0600",-3.00,18.00,5.00,337.00,
1,2,"WN","1440","MCO","BWI","1730",21.00,11.00,24.00,787.00,
1,3,"AA","1594","MSY","DFW","0600",-2.00,15.00,0.00,447.00,
1,6,"WN","2759","BOS","MDW","1530",,,,861.00,
1,7,"AA","1890","CLT","EWR","2005",-2.00,24.00,0.00,529.00,
1,3,"WN","564","MCI","PHX","1515",32.00,17.00,35.00,1044.00,
1,2,"WN","1292","ONT","OAK","2130",16.00,5.00,24.00,362.00,
1,6,"UA","686","MCO","EWR","1110",-6.00,12.00,0.00,937.00,
1,2,"DL","2496","ATL","SDF","1207",26.00,10.00,22.00,321.00,
1,2,"AA","2385","SAT","DFW","1955",-14.00,15.00,0.00,247.00,
1,3,"DL","1053","ATL","SLC","1050",-4.00,17.00,0.00,1590.00,
1,7,"WN","2968","OKC","DAL","0730",-2.00,25.00,5.00,181.00,
1,2,"DL","2835","JFK","PDX","1940",-6.00,38.00,,2454.00,
